Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
TRATAMIENTO DE AGUA PARA ENVASADO,70948946,TANQUE BALANCE 2  - TRAT PRIM,13340391,INSPEC SEMANAL TANQUE BALAN 2  - T PRIM,PLAN MTTO MEC TANQUE BALANCE 2  - TRAT P,si,CUMPLE,"13/5/2024, 6:36:00","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948948,TANQUE FIBRA ACD CLORHIDRI - TRAT PRIM,13340393,INSPEC SEMANAL TK FIBRA ACD CLO - T PRI,PLAN MTTO MEC TANQUE FIBRA ACD CLORHIDRI,si,CUMPLE,"13/5/2024, 6:36:29","0,1",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,"LIMPIEZ.GRAL(VIDRIOS,ESPEJOS,COMPUTADOR)",si,CUMPLE,"7/5/2024, 12:33:22","0,01",.,.,CUMPLE,si,si,si,si
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,"FUNC. FOTOCELDAS, SENSORES",si,CUMPLE,"7/5/2024, 12:33:29","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,INSP. UNIDAD MTTO AIRE(DRENAR AGUA),si,CUMPLE,"7/5/2024, 12:33:37","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,INSP INTERCAMBIADOR Y REJILLA AIRE,si,CUMPLE,"7/5/2024, 12:33:43","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,INSP. FALTA DE TAPON ,si,CUMPLE,"7/5/2024, 12:36:31","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,INSP. SUBLLENADO,si,CUMPLE,"7/5/2024, 12:36:39","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,FUNC.PANEL CONTROL,si,CUMPLE,"7/5/2024, 12:36:45","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,UNIDAD DE CONTROL,si,CUMPLE,"7/5/2024, 12:36:59","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,INSP. TAPA TORCIDA,si,CUMPLE,"7/5/2024, 12:37:05","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,599557,INSPECTOR DE BOTELLA LLENA,13340303,INSPECCION SEMANAL  INSPECTOR DE BOTELLA,INSP. TABLERO  ELECTRICO/CLIMATIZADOR,si,CUMPLE,"7/5/2024, 12:37:10","0,01",.,.,CUMPLE,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Fugas de aire,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado de correas y guías de manejo de botella,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Lubricación de piñones,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado caja de transmisión,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado de correas de transmisión y poleas,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado sistema de altura de caja,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado de sensores,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado Instrumentos de medidas,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado baliza,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado unidad de mantenimiento neumático,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado electroválvulas para soplado de fondo y flash de fondo,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado de vidrios y óptica,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado de botoneras de emergencia,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado encoder,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado de flash,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,"Estado sistema de rechazo (pistones, segmentos, electroválvulas)",,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Verificacion de botellas de prueba,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,"Estado de tableros eléctricos de mando, control y potencia",,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado final View,,,,"0,0047619048",,,,,,,
LINEA DE ENVASADO TAMAÑO PERSONAL,599558,INSPECTOR ELECTRONICO,13340332,INSPECCION SEMANAL  INSPECTOR ELECTRONIC,Estado y limpieza de extractor y/o climatizador tablero eléctrico.,,,,"0,0047619048",,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,698412,INTERCAMBIADOR,13340694,INSPECCION SEMANAL  INTERCAMBIADOR,PLAN MTTO MEC INTERCAMBIADOR 698412,si,CUMPLE,"10/5/2024, 11:02:58","0,1",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES JUGO,698413,INTERCAMBIADOR DE CALOR  No. 1   JUGOS,13340717,INSPECCION SEMANAL  INTERCAMBIADOR DE CA,PLAN MTTO MEC INTERC CALOR 1 JUG  698413,si,CUMPLE,"7/5/2024, 2:21:05","0,1",.,.,CUMPLE,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,698433,INTERCAMBIADOR DE PLACAS,13340375,INSPECCION SEMANAL  INTERCAMBIADOR REFRI,PLAN MTTO INTERCAMBIADOR DE PLACAS,si,CUMPLE,"7/5/2024, 13:26:28","0,1",.,.,CUMPLE,,,,
BOMBAS DE SERVICIO PROCESO,70948900,BOMBA AGUA SUAVIZADA,13340645,INSPECCION SEMANAL AGUA SUAVIZADA,PLAN MTTO MEC BOMBA AGUA SUAVIZ 70948900,,,,"0,1",,,,,,,
BOMBAS DE SERVICIO PROCESO,70948901,BOMBA AGUA SUAVIZADA,13340646,INSPECCION SEMANAL AGUA SUAVIZADA,PLAN MTTO MEC BOMBA AGUA SUAVIZ 70948901,,,,"0,1",,,,,,,
BOMBAS DE SERVICIO PROCESO,70948902,BOMBA AGUA SUAVIZADA,13340647,INSPECCION SEMANAL AGUA SUAVIZADA,PLAN MTTO MEC BOMBA AGUA SUAVI 70948902,,,,"0,1",,,,,,,
LINEA PET CSD - LINEA 10,829703,ALIMENTADOR DE TAPA PLASTICA,13340478,INSPECCION SEMANAL ALIMENTADOR DE TAPA P,REVISION CORREAS TRANSMISION,si,CUMPLE,"10/5/2024, 15:07:45","0,0166666667",.,.,CUMPLE,si,si,si,si
LINEA PET CSD - LINEA 10,829703,ALIMENTADOR DE TAPA PLASTICA,13340478,INSPECCION SEMANAL ALIMENTADOR DE TAPA P,REVISION CADENA DE TRANSPORTE,si,CUMPLE,"10/5/2024, 15:07:50","0,0166666667",.,.,CUMPLE,,,,
LINEA PET CSD - LINEA 10,829703,ALIMENTADOR DE TAPA PLASTICA,13340478,INSPECCION SEMANAL ALIMENTADOR DE TAPA P,ESTADO DE CANGILONES,si,CUMPLE,"10/5/2024, 15:07:54","0,0166666667",.,.,CUMPLE,,,,
LINEA PET CSD - LINEA 10,829703,ALIMENTADOR DE TAPA PLASTICA,13340478,INSPECCION SEMANAL ALIMENTADOR DE TAPA P,ESTADO SENSORES,si,CUMPLE,"10/5/2024, 15:07:57","0,0166666667",.,.,CUMPLE,,,,
LINEA PET CSD - LINEA 10,829703,ALIMENTADOR DE TAPA PLASTICA,13340478,INSPECCION SEMANAL ALIMENTADOR DE TAPA P,FUNCIONAMIENTO INSPECCION TAPA,si,CUMPLE,"10/5/2024, 15:08:00","0,0166666667",.,.,CUMPLE,,,,
LINEA PET CSD - LINEA 10,829703,ALIMENTADOR DE TAPA PLASTICA,13340478,INSPECCION SEMANAL ALIMENTADOR DE TAPA P,ESTADO ACRILICOS Y PUERTAS,si,CUMPLE,"10/5/2024, 15:08:03","0,0166666667",.,.,CUMPLE,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,INSP FUNC MOTORES,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO TENSION CADENAS ELEVACION,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,"ESTADO SENSORES(MICRO,INDUCTIVO)",,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO CARRO TRASLACION ESTIBAS,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO RODILLOS MECANISMO TRASLACION,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,INSP INTERCAMBIADOR Y REJILLA AIRE,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,INSP TABLERO ELECTRICO/CLIMATIZADOR,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO DE RODILLOS  TRANSPORTE ESTIBAS ,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO DE CADENAS RODILLAS TRANSPORTE ESTIBAS ,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO DE SENSORES DE ACUMULACIÓN ,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,900231,ALMACEN DE PALETS,13340294,INSPECCION SEMANAL ALMACEN DE PALETS,ESTADO DE MAQUINA ROBO-PAC,,,,"0,0090909091",,,,,,,
LINEA DE ENVASADO PET NO RETORNABLE,71031602,APLICADOR DE ADHESIVO HOTMELT SERIE C,13340295,INSPECCION SEMANAL APLICADOR DE ADHESIVO,PLAN MTTO APLICADOR ADHESIVO L1 71031602,,,,"0,05",,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,71017402,APLICADOR DE HOT MELT,13340490,INSPECCION SEMANAL APLICADOR DE HOT MELT,REVISION ESTADO PISTOLA,si,CUMPLE,"10/5/2024, 8:53:42","0,025",.,.,CUMPLE,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,71017402,APLICADOR DE HOT MELT,13340490,INSPECCION SEMANAL APLICADOR DE HOT MELT,INSPECCION ESTADO TANQUE,si,CUMPLE,"10/5/2024, 8:53:49","0,025",.,.,CUMPLE,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,71017402,APLICADOR DE HOT MELT,13340490,INSPECCION SEMANAL APLICADOR DE HOT MELT,VERIFICAR ESTADO MANGUERA,si,CUMPLE,"10/5/2024, 8:53:57","0,025",.,.,CUMPLE,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,71017402,APLICADOR DE HOT MELT,13340490,INSPECCION SEMANAL APLICADOR DE HOT MELT,REVISAR APLICACIÓN PEGANTE,si,CUMPLE,"10/5/2024, 8:54:03","0,025",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,589619,CODIFICADOR PARA BOLSA 5 LT,13340426,INSPECCION SEMANAL BOLSA  5L,VERIFICAR CODIFICACION,si,CUMPLE,"9/5/2024, 16:42:08","0,0333333333",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,589619,CODIFICADOR PARA BOLSA 5 LT,13340426,INSPECCION SEMANAL BOLSA  5L,INSPECCIONAR ESTADO ALMOHADILLAS,si,CUMPLE,"9/5/2024, 16:42:18","0,0333333333",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,589619,CODIFICADOR PARA BOLSA 5 LT,13340426,INSPECCION SEMANAL BOLSA  5L,INSPECCIONAR CABEZAL DE IMPRESIÓN ,si,CUMPLE,"9/5/2024, 16:43:22","0,0333333333",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,INS. ESTADO TANQUE DE LLENADO,si,CUMPLE,"9/5/2024, 16:43:38","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC VALVULA LLENADO TANQUE,si,CUMPLE,"9/5/2024, 16:43:46","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,INSP MECANISMO SELLADO HORIZ/VERTIC,si,CUMPLE,"9/5/2024, 16:43:55","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,INSP SISTEMA NEUMATICO(CILINDRO),si,CUMPLE,"9/5/2024, 16:44:04","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC REFRIGERACION RESISTENCIAS,si,CUMPLE,"9/5/2024, 16:44:14","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,ESTADO VALVULA LLENADO,si,CUMPLE,"9/5/2024, 16:44:23","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC SISTEMA ARRASTRE BOLSA,si,CUMPLE,"9/5/2024, 16:44:48","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,ESTADO BANDA DE MOTOR ARRASTRE,si,CUMPLE,"9/5/2024, 16:44:53","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC MOTORES ARRASTRE BOLSA,si,CUMPLE,"9/5/2024, 16:48:08","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC MOTORES SELLADO BOLSA,si,CUMPLE,"9/5/2024, 16:50:15","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,ESTADO LEVA-RODILLO SELLADO-CORTE,si,CUMPLE,"9/5/2024, 16:50:21","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,ESTADO TABLERO ELECTRICO,si,CUMPLE,"9/5/2024, 16:50:29","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC RODILLOS LOCOS,si,CUMPLE,"9/5/2024, 16:50:33","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,FUNC RESISTENCIA EMPALME ROLLOS,si,CUMPLE,"9/5/2024, 16:50:38","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,INSP FUGAS FLUIDOS,si,CUMPLE,"9/5/2024, 16:50:43","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,INSP FUNC. BOMBA REFRIG. MORDAZAS,si,CUMPLE,"9/5/2024, 16:50:48","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,SENSOR DE NIVEL TANQUE,si,CUMPLE,"9/5/2024, 16:50:55","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710200,LLENADORA DE BOLSAS LINEA 4,13340430,INSPECCION SEMANAL BOLSA 360 Y 600 ML,REV/CAMBIO LAMPARAS 9000 H,si,CUMPLE,"9/5/2024, 16:51:00","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,INS. ESTADO TANQUE DE LLENADO,si,CUMPLE,"9/5/2024, 16:52:00","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,FUNC VALVULA LLENADO TANQUE,si,CUMPLE,"9/5/2024, 16:52:05","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,INSP MECANISMO SELLADO HORIZ/VERTIC,si,CUMPLE,"9/5/2024, 16:52:11","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,INSP SISTEMA NEUMATICO(CILINDRO),si,CUMPLE,"9/5/2024, 16:52:18","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,FUNC REFRIGERACION RESISTENCIAS,si,CUMPLE,"9/5/2024, 16:52:23","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,ESTADO VALVULA LLENADO,si,CUMPLE,"9/5/2024, 16:52:28","0,0052631579",.,.,CUMPLE,,,,
LINEA PARA EL LLENADO DE BOLSAS,710199,LLENADORA DE BOLSAS LINEA 5,13335391,INSPECCION SEMANAL BOLSAS LINEA 5,FUNC SISTEMA ARRASTRE BOLSA,si,CUMPLE,"9/5/2024, 16:52:33","0,0052631579",.,.,CUMPLE,,,,
