Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
LINEA DE ENVASADO NRO 4    PET,829662,TRANSPORTADOR AEREO,13348479,Inspec. general semanal transp. aereo,sin especificar,si,CUMPLE,"15/5/2024, 21:55:14","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,710317,ETIQUETADORA  250CC   HASTA    3125CC,13348485,INSP. GENERAL SEMANAL ETIQUETADORA,sin especificar,si,CUMPLE,"9/5/2024, 19:42:24","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,710317,ETIQUETADORA  250CC   HASTA    3125CC,13348486,INSP. GENERAL SEMANAL ETIQUETADORA,sin especificar,si,CUMPLE,"9/5/2024, 19:42:48","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,829664,TRANSPORTADOR DE BOTELLAS LLENAS,13348489,Inspec. general semanal transp. botellas,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,829664,TRANSPORTADOR DE BOTELLAS LLENAS,13348490,Inspec. general semanal transp. botellas,sin especificar,,,,"0,1",si,si,si,si,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,749253,SUBESTACION ELECTRICA,13348398,INSPECCCION GRAL SEMANAL SUBESTACION ELE,sin especificar,,,,"0,1",si,si,si,si,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,749253,SUBESTACION ELECTRICA,13348397,INSPECCCION GRAL SEMANAL SUBESTACION ELE,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,711003,ENJUAGADORA,13348496,Inspec. general semanal Enjuagadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,711003,ENJUAGADORA,13348497,Inspec. general semanal Enjuagadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,579061,PALETIZADORA,13348501,Inspec. general semanal paletizadora,sin especificar,si,CUMPLE,"15/5/2024, 21:56:57","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,579061,PALETIZADORA,13348502,Inspec. general semanal paletizadora,sin especificar,si,CUMPLE,"20/5/2024, 13:59:34","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900155,PALETIZADORA,13348505,Inspec. general semanal paletizadora,sin especificar,si,CUMPLE,"13/5/2024, 14:44:07","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900155,PALETIZADORA,13348506,Inspec. general semanal paletizadora,sin especificar,si,CUMPLE,"13/5/2024, 14:44:11","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,829665,TRANSPORTADOR DE PAQUETES,13348507,Inspec. general semanal transp. paquetes,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,829665,TRANSPORTADOR DE PAQUETES,13348508,Inspec. general semanal transp. paquetes,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,829666,TRANSPORTADOR DE PALETS,13348516,Inspec. general semanal transp. palet,sin especificar,si,CUMPLE,"15/5/2024, 22:12:26","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,829666,TRANSPORTADOR DE PALETS,13348517,Inspec. general semanal transp. palet,sin especificar,si,CUMPLE,"15/5/2024, 22:12:39","0,1",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,679345,PLANTA ELECTRICA,13348519,INSPECCCION GRAL SEMANAL PLANTA ELECTRIC,sin especificar,si,CUMPLE,"7/5/2024, 18:26:48","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,679345,PLANTA ELECTRICA,13348520,INSPECCCION GRAL SEMANAL PLANTA ELECTRIC,sin especificar,si,CUMPLE,"7/5/2024, 18:26:38","0,1",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,579062,ENVOLVEDORA DE PALETS,13348522,Inspec. general semanal Envolvedor palet,sin especificar,si,CUMPLE,"15/5/2024, 22:12:48","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,579062,ENVOLVEDORA DE PALETS,13348523,Inspec. general semanal Envolvedor palet,sin especificar,si,CUMPLE,"15/5/2024, 22:12:57","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,599584,INSPECTOR DE BOTELLA LLENA,13348525,Inspec. general semanal inspec.botella,sin especificar,si,CUMPLE,"15/5/2024, 21:56:44","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,599584,INSPECTOR DE BOTELLA LLENA,13348526,Inspec. general semanal inspec.botella,sin especificar,si,CUMPLE,"15/5/2024, 21:56:50","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,900337,PROCESADOR DE BEBIDA,13348528,Inspec. general semanalProcesador bebida,sin especificar,si,CUMPLE,"15/5/2024, 22:13:09","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,900337,PROCESADOR DE BEBIDA,13348529,Inspec. general semanalProcesador bebida,sin especificar,si,CUMPLE,"15/5/2024, 22:13:16","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,900310,ETIQUETADORA,13348531,Inspec. general semanal Etiquetadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,900310,ETIQUETADORA,13348532,Inspec. general semanal Etiquetadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,900309,ETIQUETADORA DE MANGA,13348534,Inspec. general semanal etiquetadora,sin especificar,si,CUMPLE,"21/5/2024, 6:58:53","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,900309,ETIQUETADORA DE MANGA,13348535,Inspec. general semanal etiquetadora,sin especificar,si,CUMPLE,"21/5/2024, 6:59:15","0,1",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649564,COMPRESOR DE AIRE,13348536,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,,,,"0,1",si,si,si,si,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649564,COMPRESOR DE AIRE,13348537,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,,,,"0,1",,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649586,COMPRESOR DE AIRE Nro. 2,13348538,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,,,,"0,1",,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,649586,COMPRESOR DE AIRE Nro. 2,13348539,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,,,,"0,1",,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,679352,PLANTA ELECTRICA CATERPILLAR 3516,13348543,INSPECCCION GRAL SEMANAL PLANTA ELECTRIC,sin especificar,si,CUMPLE,"7/5/2024, 18:26:34","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,679352,PLANTA ELECTRICA CATERPILLAR 3516,13348544,INSPECCCION GRAL SEMANAL PLANTA ELECTRIC,sin especificar,si,CUMPLE,"7/5/2024, 18:26:27","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,679355,PLANTA ELECTRICA CATERPILLAR 3516,13348545,INSPECCCION GRAL SEMANAL PLANTA ELECTRIC,sin especificar,si,CUMPLE,"7/5/2024, 18:26:23","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,679355,PLANTA ELECTRICA CATERPILLAR 3516,13348546,INSPECCCION GRAL SEMANAL PLANTA ELECTRIC,sin especificar,si,CUMPLE,"7/5/2024, 18:26:09","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649585,COMPRESOR DE AIRE,13348547,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:55","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649585,COMPRESOR DE AIRE,13348548,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:52","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,820117,SECADOR DE AIRE,13348552,INSPECCCION GRAL SEMANAL SECADOR AIRE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:33","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,820117,SECADOR DE AIRE,13348553,INSPECCCION GRAL SEMANAL SECADOR AIRE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:30","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946540,UHT 6500/060 CON DESAIRADOR  AREA 236,13348554,INSPECCCION GRAL SEMANAL UHT AREA 236,sin especificar,si,CUMPLE,"19/5/2024, 14:06:38","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946540,UHT 6500/060 CON DESAIRADOR  AREA 236,13348555,INSPECCCION GRAL SEMANAL UHT AREA 236,sin especificar,si,CUMPLE,"19/5/2024, 14:06:50","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 3    PET,829001,PROCESADOR DE BEBIDA,13348556,Inspec. general semanalProcesador bebida,sin especificar,si,CUMPLE,"8/5/2024, 7:08:41","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 3    PET,829001,PROCESADOR DE BEBIDA,13348557,Inspec. general semanalProcesador bebida,sin especificar,si,CUMPLE,"8/5/2024, 7:08:46","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946546,TINA  1 PREPARACION TETRAPAK AREA 224,13348560,INSPECCCION GRAL SEMANAL AREA 224,sin especificar,si,CUMPLE,"19/5/2024, 14:07:48","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946546,TINA  1 PREPARACION TETRAPAK AREA 224,13348561,INSPECCCION GRAL SEMANAL AREA 224,sin especificar,si,CUMPLE,"19/5/2024, 14:07:58","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946533,UNIDAD CIP CENTRALIZADA  AREA 291,13348564,INSPECCCION GRAL SEMANAL UNIDAD CIP A291,sin especificar,si,CUMPLE,"19/5/2024, 21:45:16","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946533,UNIDAD CIP CENTRALIZADA  AREA 291,13348565,INSPECCCION GRAL SEMANAL UNIDAD CIP A291,sin especificar,si,CUMPLE,"19/5/2024, 21:45:26","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946542,DISOLUTOR DE POLVOS A VACIO AREA 221,13348566,INSPECCCION GRAL SEMANAL AREA 221,sin especificar,si,CUMPLE,"21/5/2024, 12:20:37","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946542,DISOLUTOR DE POLVOS A VACIO AREA 221,13348567,INSPECCCION GRAL SEMANAL AREA 221,sin especificar,si,CUMPLE,"21/5/2024, 12:20:43","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900247,PASTEURIZADOR TETRAPACK DRINK 10,13348570,INSPECCCION GRAL SEMANAL PASTER TETRADRI,sin especificar,si,CUMPLE,"19/5/2024, 21:45:49","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900247,PASTEURIZADOR TETRAPACK DRINK 10,13348571,INSPECCCION GRAL SEMANAL PASTER TETRADRI,sin especificar,si,CUMPLE,"19/5/2024, 21:46:23","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946541,HOMOGENIZADOR DE 5 PISTONES AREA 236,13348572,INSPECCCION GRAL SEMANAL HOMOGENIZADOR,sin especificar,si,CUMPLE,"21/5/2024, 11:52:17","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,70946541,HOMOGENIZADOR DE 5 PISTONES AREA 236,13348573,INSPECCCION GRAL SEMANAL HOMOGENIZADOR,sin especificar,si,CUMPLE,"21/5/2024, 11:52:25","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,709652,TREN DE FILTRACION ULTRA VIOLETA,13348574,INSPECCCION GRAL SEMANAL LAMPARA UV,sin especificar,,,,"0,1",,,,,,,,
EQUIPOS PARA PREPARACION JUGOS HIT,709652,TREN DE FILTRACION ULTRA VIOLETA,13348575,INSPECCCION GRAL SEMANAL LAMPARA UV,sin especificar,si,CUMPLE,"21/5/2024, 14:06:41","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900503,UNIDAD CIP TANQUE ASEPTICO,13348577,INSPECCCION GRAL SEMANAL TANQUE ASEPTICO,sin especificar,si,CUMPLE,"21/5/2024, 11:53:45","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900503,UNIDAD CIP TANQUE ASEPTICO,13348578,INSPECCCION GRAL SEMANAL TANQUE ASEPTICO,sin especificar,si,CUMPLE,"21/5/2024, 11:53:52","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,69961440,TANQUE ASEPTICO,13348580,INSPECCCION GRAL SEMANAL TK ASEPTICO,sin especificar,si,CUMPLE,"21/5/2024, 11:53:05","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,69961440,TANQUE ASEPTICO,13348581,INSPECCCION GRAL SEMANAL TK ASEPTICO,sin especificar,si,CUMPLE,"21/5/2024, 11:53:17","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,69961404,TINA  1 PREPARACION DUPONT  AREA 225,13348582,INSPECCCION GRAL SEMANAL AREA 225,sin especificar,si,CUMPLE,"21/5/2024, 11:54:48","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,69961404,TINA  1 PREPARACION DUPONT  AREA 225,13348583,INSPECCCION GRAL SEMANAL AREA 225,sin especificar,si,CUMPLE,"21/5/2024, 11:54:43","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 3    PET,519544,LLENADORA DE BOTELLAS,13348586,Inspec. general semanal llenadora,sin especificar,si,CUMPLE,"8/5/2024, 7:08:56","0,1",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 3    PET,519544,LLENADORA DE BOTELLAS,13348587,Inspec. general semanal llenadora,sin especificar,si,CUMPLE,"8/5/2024, 7:09:06","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649563,COMPRESOR DE AIRE,13348590,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:46","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,649563,COMPRESOR DE AIRE,13348591,INSPECCCION GRAL SEMANAL COMPRESOR AIRE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:43","0,1",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,579065,PALETIZADORA,13348593,Inspec.gneral semnal paletizadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,579065,PALETIZADORA,13348594,Inspec.gneral semnal paletizadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,579066,ENVOLVEDOR DE PALETS,13348596,Inspec. general semanal envolvedor palet,sin especificar,si,CUMPLE,"13/5/2024, 15:37:50","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,579066,ENVOLVEDOR DE PALETS,13348597,Inspec. general semanal envolvedor palet,sin especificar,si,CUMPLE,"22/5/2024, 6:40:00","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,710320,ENFARDADORA,13348600,Inspec. general semanal enfardadora,sin especificar,si,CUMPLE,"6/5/2024, 16:42:35","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,710320,ENFARDADORA,13348601,Inspec. general semanal enfardadora,sin especificar,si,CUMPLE,"6/5/2024, 16:42:20","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900120,TORRE DE ENFRIAMIENTO,13348603,INSPECCCION GRAL SEMANAL TORRE ENFRIAMIE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:25","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900120,TORRE DE ENFRIAMIENTO,13348604,INSPECCCION GRAL SEMANAL TORRE ENFRIAMIE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:17","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900121,TORRE DE ENFRIAMIENTO,13348605,INSPECCCION GRAL SEMANAL TORRE ENFRIAMIE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:09","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900121,TORRE DE ENFRIAMIENTO,13348606,INSPECCCION GRAL SEMANAL TORRE ENFRIAMIE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:06","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,900122,TORRE DE ENFRIAMIENTO,13348607,INSPECCCION GRAL SEMANAL TORRE ENFRIAMIE,sin especificar,si,CUMPLE,"10/5/2024, 18:15:00","0,1",,,,,si,.,.,CUMPLE
