Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Duración,aprobacion programador,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Observaciones,correo de programador,correo de planeador,imagen_observacion,Fecha Programada
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO BOMBAS DE PRE Y ENJUAGUE FINAL,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:27:24"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO BOTONES TABLERO DE MANDO ,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:27:35"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO ELECTROVALVULAS,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:27:47"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,LIMPIEZA Y ESTADO DE TABLERO (CONTACTORES),si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:28:54"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,FUNCIONAMIENTO VENTILADORES DE VARIADORES,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:29:20"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO CONTROLES DE TEMPERATURA,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:29:34"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO VALVULAS PASO DE VAPOR,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:29:45"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO CABLEADO ELECTRICO,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:29:57"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO SENSORES,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:30:25"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO DE MOTORES,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:30:39"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO DE TEFLON GUIA TABLETOP ,si,"0,05",si,,,,,Se realiza la inspección de las guías de la tabletop de la Mesa del cargue de la lavadora de botellas y están en mal estado ,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/7V8EW5ZsMGoE8de1aHBV.jpg,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO DE GUIAS Y BOLSILLOS,si,"0,05",si,,,,,Se realiza la inspección de las guías del cargue de la lavadora de botellas y las guías están en mal estado y se cambiaron 8 guías pero son muy cortas tocó bajarlas y se bajaron otras guías para que la botella encarrile bien ,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/cvlKuSMKMl9NvT29JKxj.jpg,
LINEA DE PRODUCCION DE BOTELLONES DE 20,508182,PRELAVADORA DE BOTELLONES,13351023,Inspeccion Semanal,sin especificar,si,1,si,si,si,si,si,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:20:43"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO INSTRUMENTOS DE MEDICION,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:13"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO TUBOS DEPURADORES,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:23"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO CENTRADORES,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:30"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO RETENEDORES DE PISTONES,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:40"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO EJE SINFÍN,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:46"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO GUIAS DE MANEJO,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:53"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO FOTOCELDAS Y SENSORES,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:52:59"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO ELECTROVALVULAS,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:53:11"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,LIMPIEZA Y ESTADO DE TABLERO (CONTACTORES),si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:54:04"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,FUNCIONAMIENTO VENTILADORES DE VARIADORES,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:54:11"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO DE PULSADORES TABLERO DE MANDO,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:54:17"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO O-RING DE SELLO DE LIQUIDO,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:54:25"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,ESTADO DE MOTORES,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:54:33"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",519543,LLENADORA DE BOTELLAS,13319918,INSPECCION SEMANAL,Estado del filtro MICROBIOLOGICO,si,"0,0714285714",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:54:43"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO CADENA DE TRANSMISION,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:19:53"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO CAPSULADORES,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:00"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO CHUMACERAS,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:09"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO COJINES,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:18"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO CAJA ,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:28"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO SENSORES,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:36"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO DE ELECTROVALVULAS,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:43"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO DE BOTONES EN PANEL DE MANDO,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:20:50"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,LIMPIEZA DE TABLERO,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:21:00"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,FUNCIONAMIENTO VENTILADORES DE VARIADORES,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:21:06"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",538653,CAPSULADORA,13351026,Inspección semanal,ESTADO LUBRICONTROLES,si,"0,0909090909",si,,,,,CUMPLE,.,.,CUMPLE,"17/5/2024, 15:21:13"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO RETENEDORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:37:51"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO CHUMACERAS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:37:58"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO ROTULAS Y ARTICULACIONES DE BRAZOS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:38:04"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO CADENA TABLETOP Y TEFLON,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:38:10"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO CARRETOS Y PIÑONES MESA ,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:38:24"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO FLAUTA DOSIFICADORA DE LUBRICANTE,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:38:30"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO LUBRICONTROLES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:40:52"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO MANGUERAS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:28"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO REGULADOR AIRE INFLAR-DESINFLAR,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:33"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO FOTOCELDAS Y SENSORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:37"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO CABLES DE SEÑAL,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:43"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO BOTONES TABLERO DE MANDO ,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:50"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO ELECTROVALVULAS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:54"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,LIMPIEZA Y ESTADO DE TABLERO (CONTACTORES),si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:41:58"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,FUNCIONAMIENTO VENTILADORES DE VARIADORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:42:04"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",540002,EMPACADORA,13351027,Inspección Semanal,ESTADO DE MOTORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"16/5/2024, 9:42:08"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO RETENEDORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:37:47"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO CHUMACERAS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:37:53"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO ROTULAS Y ARTICULACIONES DE BRAZOS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:37:58"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO CADENA TABLETOP Y TEFLON,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:04"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO CARRETOS Y PIÑONES MESA ,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:09"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO FLAUTA DOSIFICADORA DE LUBRICANTE,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:15"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO LUBRICONTROLES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:20"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO MANGUERAS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:31"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO REGULADOR AIRE INFLAR-DESINFLAR,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:40"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO FOTOCELDAS Y SENSORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:25"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO CABLES DE SEÑAL,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:48"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO BOTONES TABLERO DE MANDO ,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:38:55"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO ELECTROVALVULAS,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:39:02"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,LIMPIEZA Y ESTADO DE TABLERO (CONTACTORES),si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:39:06"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,FUNCIONAMIENTO VENTILADORES DE VARIADORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:39:12"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",550009,DESEMPACADORA,13343251,Inspección Semanal,ESTADO DE MOTORES,si,"0,0625",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 10:39:17"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,"ESTADO DE PULSADORES, PILOTOS Y SELECTORES",si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:38:49"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,ESTADO FOTOCELDA DE ACUMULACION,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:38:54"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,ESTADO DISYUNTORES Y CONTACTORES,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:38:59"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,LIMPIEZA DE TABLERO,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:39:03"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,ESTADO DE MOTORES,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:39:09"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,ESTADO VALVULAS ,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:39:13"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,ESTADO CHUMACERAS,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:39:17"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,FUNCIONAMIENTO DE FLAUTAS,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:39:21"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",560001,LAVADORA DE CAJAS,13351031,Inspeccion Semanal,FUNCIONAMIENTO DE BOMBAS DE LAVADO,si,"0,1111111111",si,,,,,CUMPLE,.,.,CUMPLE,"14/5/2024, 10:39:25"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",570002,TANDEM DE PALETIZADO,13351033,Inspección Semanal,ESTADO PIÑON CARDANICO,si,"0,0555555556",si,,,,,Amerita el cambio del piñón cardanico del Transportador de la entrada a la banda ,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/EWB4JxpwYQ80C1cGgqpj.jpg,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",570002,TANDEM DE PALETIZADO,13351033,Inspección Semanal,ESTADO PIÑON DE TRANSMISION,si,"0,0555555556",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 12:02:21"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",570002,TANDEM DE PALETIZADO,13351033,Inspección Semanal,RETENEDORES DE REDUCTORES,si,"0,0555555556",si,,,,,Hay varios motoreductor que ameritan del cambio de los retenedores ,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/haegLtPSd72yh7sWPF8S.jpg,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",570002,TANDEM DE PALETIZADO,13351033,Inspección Semanal,ESTADO DE ACOPLES DE EJE MOV. VERTICAL,si,"0,0555555556",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:51:18"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",570002,TANDEM DE PALETIZADO,13351033,Inspección Semanal,ESTADO DE RODILLOS MESA Y TRNASPOR.,si,"0,0555555556",si,,,,,Los rodillos en su mayoría están para cambio total ya en inspección anteriores se reporto,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/6msFIBdjPBY0iz7d6uJe.jpg,
