Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
EQUIPOS PARA  PREPARACION DE JARABE,69962351,COCINA 2000 LTS,13351403,Inspeccion semanal Cocina 1,sin especificar,"0,4",,,,
EQUIPOS PARA  PREPARACION DE JARABE,699623,SALA DE PREPARACION,13351372,Inspeccion semanal TK disolución ingredi,sin especificar,"0,5",,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13351400,Inspección semanal lavadora de cajas,sin especificar,"0,5",,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,670014,PLANTA ELECTRICA,13353476,inspecionar fugas de agua y aceite,sin especificar,"0,1",,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",599576,INSPECTOR ELECTRONICO,13351354,Revisi¢n del sistema de inspecci¢n,sin especificar,1,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,670014,PLANTA ELECTRICA,13351369,Inspeccion semanal planta electrica,sin especificar,1,,,,
EQUIPOS PARA  PREPARACION DE JARABE,699623,SALA DE PREPARACION,13351371,Inspección semanal sala preparación,sin especificar,1,,,,
LINEA PRODUCCION DE BOTELLONES DE 20 LT,710111,LAVADORA DE HUACALES,13351377,Inspeccion semanal lavadora huacales,sin especificar,1,,,,
LINEA PRODUCCION DE BOTELLONES DE 20 LT,719604,GENERADOR DE OZONO,13351378,Inspeccion semanal lgeneradoer de ozono,sin especificar,1,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70962901,FILTRO DE ARENA 96 PULG,13351381,Inspección semanal filtro de arena,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700603,TALLER UTILES ASEO,13351388,Inspeccion semanal taller,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700605,SOLDADOR ELECTRICO,13351389,Inspeccion semanal soldador electrico,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700605,SOLDADOR ELECTRICO,13351390,Inspeccion semanal soldador electrico,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700607,EQUIPO DE SOLDADURA OXIACETILENICA,13351391,Inspección semanal equipo de soldadura,sin especificar,1,,,,
LINEA PARA EL LLENADO DE BOLSAS,900212,LLENADORA DE BOLSAS LINEA 4,13351392,INSPECCIÓN SEMANAL DE EQUIPO,sin especificar,1,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689614,REDES HIDRAULICAS Y NEUMATICAS,13351394,Inspección semanal redes Hidraul y neuma,sin especificar,1,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,749616,REDES ELECTRICAS,13351395,Inspeccion semanalde redes electricas,sin especificar,1,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,769903,REDES DE COMUNICACIONES,13351396,Inspeccion semanal redes comunicacion,sin especificar,1,,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13351397,Inspección semanal lavadora de cajas,sin especificar,1,,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13351398,Inspección semanal lavadora de cajas.,sin especificar,1,,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13351399,Inspección semanal lavadora de cajas.,sin especificar,1,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,709704,TANQUES DE SODA,13351401,Inspeccion semanal TK_soda,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700601,TALLER HERRAMIENTAS,13351402,Inspeccion semanal taller de herramienta,sin especificar,1,,,,
LINEA PRODUCCION DE BOTELLONES DE 20 LT,710110,LAVADORA DE BOTELLONES,13353478,Inspeccion semanal transportador de caja,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700605,SOLDADOR ELECTRICO,13353486,Inspeccion semanal soldador electrico,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700605,SOLDADOR ELECTRICO,13353487,Inspeccion semanal soldador electrico,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700605,SOLDADOR ELECTRICO,13353488,Inspeccion semanal soldador electrico,sin especificar,1,,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,20700606,ESMERILES DE BANCO,13353489,Inspeccion semanal esmeril,sin especificar,1,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70947504,TANQUE HIDRONEUMATICO,13353490,Inspeccion semanal tanque hidro,sin especificar,1,,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13353495,Inspección semanal lavadora de cajas.,sin especificar,1,,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13353496,Inspección semanal lavadora de cajas.,sin especificar,1,,,,
"LINEA DE ENVASADO  8,5onz, 12onz, 1.25 l",560012,LAVADORA DE CAJAS,13353497,Inspección semanal lavadora de cajas.,sin especificar,1,,,,
