Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Completado,Observaciones,Fecha Programada,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,709650,TANQUES DE AGUA RECUPERADA 100 M3,13352207,P.INSPECCION SEMANAL EQUIPO 709650,sin especificar,"0,3",,,,,,,,,,,
TRATAMIENTO DE AGUAS DE DESECHO,71015201,TANQUE NEUTRALIZADOR AGUAS RESIDUALES,13352208,P.INSPECCIÓN SEMANAL EQUIPO 71015201,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,56000501,TRANSPORTADOR DE CAJAS,13352209,P.INSPECCION SEMANAL EQUIPO 56000501,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710166,LLENADORA DE BOLSAS LINEA 8,13352210,P.INSPECCION SEMANAL EQUIPO 710166,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710184,LLENADORA DE BOLSAS LINEA 9,13352212,P.INSPECCION SEMANAL EQUIPO 710184,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71018401,CODIFICADOR 6 LITROS L9,13352213,P.INSPECCION SEMANAL EQUIPO 71018401,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710146,TRANSPORTADOR NEUMATICO,13352214,P.INSPECCIÓN SEMANAL EQUIPO 710146,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710138,POSICIONADOR,13352215,P.INSPECCION SEMANAL EQUIPO 710138,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,710040,LAVADORA DE HUACALES,13352217,P.INSPECCIÓN SEMANAL EQUIPO 710040,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,699102,UMA CABINA ASÉPTICA,13352218,P.INSPECCION SEMANAL EQUIPO 699102,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE GARRAFAS,71001902,TRANSPORTADOR DE GARRAFAS,13352219,P.INSPECCION SEMANAL EQUIPO 71001902,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,649552,COMPRESOR DE AIRE ATLAS COPCO,13352220,P.INSPECCION SEMANAL EQUIPO 649552,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71018402,CODIFICADOR PERSONAL L2A,13352223,P.INSPECCION SEMANAL EQUIPO 71018402,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946901,POZO PROFUNDO BODEGA 1,13352224,P.INSPECCIÓN SEMANAL EQUIPO 70946901,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946902,POZO PROFUNDO AGUA CRISTAL,13352225,P.INSPECCIÓN SEMANAL EQUIPO 70946902,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946903,PLANTA DE LODOS,13352226,P.INSPECCIÓN SEMANAL EQUIPO 70946903,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,679363,PLANTA ELECTRICA,13352229,P.INSPECCIÓN SEMANAL EQUIPO 679363,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710198,LLENADORA DE BOLSAS LINEA 7,13352230,P.INSPECCION SEMANAL EQUIPO 710198,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710220,LLENADORA DE BOLSAS LINEA 5,13352232,P.INSPECCION SEMANAL EQUIPO 710220,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,659401,CALDERA N°2 COLMAQUINAS,13352234,P.INSPECCIÓN SEMANAL EQUIPO 659373,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,71003502,HIPEROZONIZADOR,13352235,P.INSPECCIÓN SEMANAL EQUIPO 71003502,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,660024,TORRE DE AIREACION,13352236,P.INSPECCIÓN SEMANAL EQUIPO 660024,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,71003503,GENERADOR DE OXIGENO,13352237,P.INSPECCIÓN SEMANAL EQUIPO 71003503,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA LLENADO DE VASOS,71009201,CODIFICADOR,13353079,P.INSPECCION SEMANAL EQUIPO 71009201,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71013301,TRANSPORTADOR DE BOLSA PERSONAL,13353080,P.INSPECCION SEMANAL EQUIPO 71013301,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710139,RINSER,13353081,P.INSPECCIÓN SEMANAL EQUIPO 710139,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,71014003,DOSIFICADOR DE NITROGENO,13353082,P.INSPECCIÓN SEMANAL EQUIPO 71014003,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710143,EMPACADORA SMI,13353083,P. INSPECCION SEMANAL EQUIPO 710143,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,71953701,TRANSPORTADORES,13353084,P.INSPECCION SEMANAL EQUIPO 71953701,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710144,ENVOLVEDOR,13353085,P. INSPECCION SEMANAL EQUIPO 710144,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710145,TRANSPORTADOR KRONES,13353086,P.INSPECCIÓN SEMANAL EQUIPO 710145,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,74926005,SUBESTACION ELECTRICA AGUA CRISTAL,13353087,P.INSPECCIÓN SEMANAL EQUIPO 74926005,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,900215,ETIQUETADORA,13353088,P.INSPECCIÓN SEMANAL EQUIPO 900215,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71016501,TRANSPORTADOR DE BOLSAS 6 LITROS,13353089,P.INSPECCIÓN SEMANAL EQUIPO 71016501,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,589712,CODIFICADOR 1620,13353092,P.INSPECCIÓN SEMANAL EQUIPO 589712,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,820105,SECADOR DE AIRE ATLAS COPCO,13355240,P.INSPECCIÓN SEMANAL EQUIPO 820105,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,820097,INSPECTOR OLORES RECHAZO BOTELLÓN,13355259,P.INSPECCION SEMANAL EQUIPO 820097,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,649028,COMPRESOR DE AIRE INGERSOLL R,13353090,P.INSPECCION SEMANAL EQUIPO 649028,sin especificar,"0,5",,,,,,,,,,,
